id,Classic,Deal,Flex,Saver
73949,0.61,0.15,0.03,0.21
73950,0.46,0.16,0.05,0.33
73951,0.48,0.14,0.09,0.28
73952,0.56,0.06,0.18,0.20
73953,0.56,0.06,0.18,0.20
73954,0.56,0.06,0.18,0.20
73955,0.50,0.18,0.02,0.30
73956,0.56,0.06,0.18,0.20
73957,0.59,0.19,0.09,0.14
73958,0.50,0.18,0.02,0.30
73959,0.50,0.18,0.02,0.30
73960,0.56,0.06,0.18,0.20
73961,0.25,0.38,0.06,0.31
73962,0.15,0.66,0.02,0.17
73963,0.13,0.67,0.00,0.20
73964,0.58,0.15,0.06,0.21
73965,0.56,0.06,0.18,0.20
73966,0.55,0.18,0.10,0.17
73967,0.29,0.27,0.27,0.18
73968,0.15,0.66,0.02,0.17
73969,0.13,0.67,0.00,0.20
73970,0.25,0.38,0.06,0.31
73971,0.59,0.19,0.09,0.14
73972,0.48,0.14,0.09,0.28
73973,0.17,0.60,0.01,0.22
73974,0.58,0.15,0.06,0.21
73975,0.61,0.15,0.03,0.21
73976,0.16,0.69,0.02,0.13
73977,0.56,0.06,0.18,0.20
73978,0.58,0.15,0.06,0.21
73979,0.55,0.18,0.10,0.17
73980,0.61,0.15,0.03,0.21
73981,0.59,0.19,0.09,0.14
73982,0.50,0.18,0.02,0.30
73983,0.27,0.27,0.34,0.12
73984,0.49,0.12,0.13,0.25
73985,0.58,0.15,0.06,0.21
73986,0.43,0.30,0.07,0.21
73987,0.15,0.66,0.02,0.17
73988,0.50,0.18,0.02,0.30
73989,0.59,0.19,0.09,0.14
73990,0.13,0.67,0.00,0.20
73991,0.06,0.79,0.06,0.09
73992,0.46,0.16,0.05,0.33
73993,0.27,0.27,0.34,0.12
73994,0.46,0.16,0.05,0.33
73995,0.05,0.80,0.04,0.11
73996,0.55,0.21,0.01,0.23
73997,0.59,0.19,0.09,0.14
73998,0.16,0.52,0.03,0.29
73999,0.50,0.18,0.02,0.30
74000,0.48,0.14,0.09,0.28
74001,0.06,0.79,0.06,0.09
74002,0.46,0.16,0.05,0.33
74003,0.50,0.18,0.02,0.30
74004,0.56,0.06,0.18,0.20
74005,0.12,0.56,0.01,0.30
74006,0.61,0.15,0.03,0.21
74007,0.55,0.21,0.01,0.23
74008,0.58,0.15,0.06,0.21
74009,0.48,0.14,0.09,0.28
74010,0.56,0.06,0.18,0.20
74011,0.46,0.16,0.05,0.33
74012,0.56,0.06,0.18,0.20
74013,0.50,0.18,0.02,0.30
74014,0.56,0.06,0.18,0.20
74015,0.06,0.79,0.06,0.09
74016,0.13,0.67,0.00,0.20
74017,0.13,0.70,0.01,0.16
74018,0.48,0.14,0.09,0.28
74019,0.55,0.21,0.01,0.23
74020,0.49,0.12,0.13,0.25
74021,0.43,0.30,0.07,0.21
74022,0.46,0.16,0.05,0.33
74023,0.08,0.77,0.01,0.14
74024,0.16,0.69,0.02,0.13
74025,0.61,0.15,0.03,0.21
74026,0.08,0.77,0.01,0.14
74027,0.29,0.27,0.27,0.18
74028,0.43,0.30,0.07,0.21
74029,0.18,0.60,0.01,0.22
74030,0.27,0.27,0.34,0.12
74031,0.50,0.18,0.02,0.30
74032,0.59,0.19,0.09,0.14
74033,0.48,0.14,0.09,0.28
74034,0.59,0.19,0.09,0.14
74035,0.18,0.60,0.01,0.22
74036,0.50,0.18,0.02,0.30
74037,0.48,0.14,0.09,0.28
74038,0.49,0.12,0.13,0.25
74039,0.43,0.30,0.07,0.21
74040,0.43,0.30,0.07,0.21
74041,0.43,0.30,0.07,0.21
74042,0.14,0.56,0.02,0.28
74043,0.48,0.14,0.09,0.28
74044,0.43,0.30,0.07,0.21
74045,0.46,0.16,0.05,0.33
74046,0.50,0.18,0.02,0.30
74047,0.12,0.61,0.00,0.26
74048,0.56,0.06,0.18,0.20
74049,0.58,0.15,0.06,0.21
74050,0.50,0.18,0.02,0.30
74051,0.58,0.15,0.06,0.21
74052,0.54,0.22,0.04,0.20
74053,0.50,0.18,0.02,0.30
74054,0.48,0.14,0.09,0.28
74055,0.25,0.38,0.06,0.31
74056,0.56,0.06,0.18,0.20
74057,0.08,0.77,0.01,0.14
74058,0.43,0.30,0.07,0.21
74059,0.58,0.15,0.06,0.21
74060,0.48,0.14,0.09,0.28
74061,0.27,0.27,0.34,0.12
74062,0.59,0.19,0.09,0.14
74063,0.12,0.61,0.00,0.26
74064,0.29,0.27,0.27,0.18
74065,0.46,0.16,0.05,0.33
74066,0.56,0.06,0.18,0.20
74067,0.12,0.56,0.01,0.30
74068,0.56,0.06,0.18,0.20
74069,0.56,0.06,0.18,0.20
74070,0.56,0.06,0.18,0.20
74071,0.48,0.14,0.09,0.28
74072,0.48,0.14,0.09,0.28
74073,0.48,0.14,0.09,0.28
74074,0.16,0.69,0.02,0.13
74075,0.50,0.18,0.02,0.30
74076,0.49,0.12,0.13,0.25
74077,0.50,0.18,0.02,0.30
74078,0.59,0.19,0.09,0.14
74079,0.43,0.30,0.07,0.21
74080,0.55,0.21,0.01,0.23
74081,0.46,0.16,0.05,0.33
74082,0.58,0.15,0.06,0.21
74083,0.56,0.06,0.18,0.20
74084,0.55,0.18,0.10,0.17
74085,0.25,0.31,0.28,0.16
74086,0.18,0.60,0.01,0.22
74087,0.16,0.69,0.02,0.13
74088,0.50,0.18,0.02,0.30
74089,0.50,0.18,0.02,0.30
74090,0.59,0.19,0.09,0.14
74091,0.61,0.15,0.03,0.21
74092,0.14,0.56,0.02,0.28
74093,0.56,0.06,0.18,0.20
74094,0.56,0.06,0.18,0.20
74095,0.12,0.56,0.01,0.30
74096,0.46,0.16,0.05,0.33
74097,0.12,0.61,0.00,0.26
74098,0.58,0.15,0.06,0.21
74099,0.56,0.06,0.18,0.20
74100,0.55,0.21,0.01,0.23
74101,0.61,0.15,0.03,0.21
74102,0.58,0.15,0.06,0.21
74103,0.48,0.14,0.09,0.28
74104,0.58,0.15,0.06,0.21
74105,0.48,0.14,0.09,0.28
74106,0.48,0.14,0.09,0.28
74107,0.58,0.15,0.06,0.21
74108,0.48,0.14,0.09,0.28
74109,0.61,0.15,0.03,0.21
74110,0.13,0.70,0.01,0.16
74111,0.58,0.15,0.06,0.21
74112,0.48,0.14,0.09,0.28
74113,0.61,0.15,0.03,0.21
74114,0.55,0.18,0.10,0.17
74115,0.48,0.14,0.09,0.28
74116,0.13,0.70,0.01,0.16
74117,0.48,0.14,0.09,0.28
74118,0.16,0.69,0.02,0.13
74119,0.08,0.77,0.01,0.14
74120,0.55,0.18,0.10,0.17
74121,0.59,0.19,0.09,0.14
74122,0.25,0.38,0.06,0.31
74123,0.43,0.30,0.07,0.21
74124,0.27,0.27,0.34,0.12
74125,0.06,0.79,0.06,0.09
74126,0.50,0.18,0.02,0.30
74127,0.29,0.27,0.27,0.18
74128,0.55,0.21,0.01,0.23
74129,0.29,0.27,0.27,0.18
74130,0.06,0.79,0.06,0.09
74131,0.27,0.27,0.34,0.12
74132,0.49,0.12,0.13,0.25
74133,0.56,0.06,0.18,0.20
74134,0.15,0.66,0.02,0.17
74135,0.55,0.21,0.01,0.23
74136,0.61,0.15,0.03,0.21
74137,0.56,0.06,0.18,0.20
74138,0.55,0.18,0.10,0.17
74139,0.43,0.30,0.07,0.21
74140,0.12,0.61,0.00,0.26
74141,0.55,0.18,0.10,0.17
74142,0.08,0.77,0.01,0.14
74143,0.08,0.77,0.01,0.14
74144,0.43,0.30,0.07,0.21
74145,0.18,0.60,0.01,0.22
74146,0.61,0.15,0.03,0.21
74147,0.58,0.15,0.06,0.21
74148,0.50,0.18,0.02,0.30
74149,0.50,0.18,0.02,0.30
74150,0.43,0.30,0.07,0.21
74151,0.56,0.06,0.18,0.20
74152,0.55,0.21,0.01,0.23
74153,0.25,0.31,0.28,0.16
74154,0.58,0.15,0.06,0.21
74155,0.48,0.14,0.09,0.28
74156,0.58,0.15,0.06,0.21
74157,0.25,0.31,0.28,0.16
74158,0.14,0.56,0.02,0.28
74159,0.55,0.21,0.01,0.23
74160,0.50,0.18,0.02,0.30
74161,0.56,0.06,0.18,0.20
74162,0.48,0.14,0.09,0.28
74163,0.59,0.19,0.09,0.14
74164,0.54,0.22,0.04,0.20
74165,0.50,0.18,0.02,0.30
74166,0.48,0.14,0.09,0.28
74167,0.46,0.16,0.05,0.33
74168,0.61,0.15,0.03,0.21
74169,0.59,0.19,0.09,0.14
74170,0.12,0.61,0.00,0.26
74171,0.15,0.66,0.02,0.17
74172,0.17,0.60,0.01,0.22
74173,0.55,0.21,0.01,0.23
74174,0.25,0.38,0.06,0.31
74175,0.55,0.18,0.10,0.17
74176,0.14,0.56,0.02,0.28
74177,0.61,0.15,0.03,0.21
74178,0.55,0.21,0.01,0.23
74179,0.50,0.18,0.02,0.30
74180,0.61,0.15,0.03,0.21
74181,0.58,0.15,0.06,0.21
74182,0.43,0.30,0.07,0.21
74183,0.56,0.06,0.18,0.20
74184,0.14,0.56,0.02,0.28
74185,0.49,0.12,0.13,0.25
74186,0.55,0.21,0.01,0.23
74187,0.49,0.12,0.13,0.25
74188,0.27,0.27,0.34,0.12
74189,0.46,0.16,0.05,0.33
74190,0.55,0.18,0.10,0.17
74191,0.18,0.60,0.01,0.22
74192,0.55,0.18,0.10,0.17
74193,0.27,0.27,0.34,0.12
74194,0.61,0.15,0.03,0.21
74195,0.50,0.18,0.02,0.30
74196,0.49,0.12,0.13,0.25
74197,0.50,0.18,0.02,0.30
74198,0.50,0.18,0.02,0.30
74199,0.59,0.19,0.09,0.14
74200,0.12,0.56,0.01,0.30
74201,0.15,0.66,0.02,0.17
74202,0.55,0.21,0.01,0.23
74203,0.12,0.56,0.01,0.30
74204,0.12,0.61,0.00,0.26
74205,0.25,0.38,0.06,0.31
74206,0.12,0.56,0.01,0.30
74207,0.58,0.15,0.06,0.21
74208,0.55,0.18,0.10,0.17
74209,0.46,0.16,0.05,0.33
74210,0.56,0.06,0.18,0.20
74211,0.43,0.30,0.07,0.21
74212,0.16,0.52,0.03,0.29
74213,0.55,0.21,0.01,0.23
74214,0.50,0.18,0.02,0.30
74215,0.59,0.19,0.09,0.14
74216,0.55,0.21,0.01,0.23
74217,0.55,0.21,0.01,0.23
74218,0.46,0.16,0.05,0.33
74219,0.59,0.19,0.09,0.14
74220,0.48,0.14,0.09,0.28
74221,0.50,0.18,0.02,0.30
74222,0.48,0.14,0.09,0.28
74223,0.50,0.18,0.02,0.30
74224,0.56,0.06,0.18,0.20
74225,0.49,0.12,0.13,0.25
74226,0.06,0.79,0.06,0.09
74227,0.55,0.21,0.01,0.23
74228,0.06,0.79,0.06,0.09
74229,0.46,0.16,0.05,0.33
74230,0.48,0.14,0.09,0.28
74231,0.55,0.18,0.10,0.17
74232,0.55,0.18,0.10,0.17
74233,0.55,0.21,0.01,0.23
74234,0.50,0.18,0.02,0.30
74235,0.27,0.27,0.34,0.12
74236,0.43,0.30,0.07,0.21
74237,0.58,0.15,0.06,0.21
74238,0.12,0.61,0.00,0.26
74239,0.48,0.14,0.09,0.28
74240,0.55,0.21,0.01,0.23
74241,0.25,0.31,0.28,0.16
74242,0.13,0.70,0.01,0.16
74243,0.46,0.16,0.05,0.33
74244,0.61,0.15,0.03,0.21
74245,0.56,0.06,0.18,0.20
74246,0.61,0.15,0.03,0.21
74247,0.27,0.27,0.34,0.12
74248,0.48,0.14,0.09,0.28
74249,0.27,0.27,0.34,0.12
74250,0.59,0.19,0.09,0.14
74251,0.59,0.19,0.09,0.14
74252,0.14,0.56,0.02,0.28
74253,0.59,0.19,0.09,0.14
74254,0.18,0.60,0.01,0.22
74255,0.25,0.38,0.06,0.31
74256,0.50,0.18,0.02,0.30
74257,0.59,0.19,0.09,0.14
74258,0.54,0.22,0.04,0.20
74259,0.50,0.18,0.02,0.30
74260,0.27,0.27,0.34,0.12
74261,0.56,0.06,0.18,0.20
74262,0.61,0.15,0.03,0.21
74263,0.12,0.61,0.00,0.26
74264,0.06,0.79,0.06,0.09
74265,0.48,0.14,0.09,0.28
74266,0.46,0.16,0.05,0.33
74267,0.61,0.15,0.03,0.21
74268,0.25,0.31,0.28,0.16
74269,0.08,0.77,0.01,0.14
74270,0.54,0.22,0.04,0.20
74271,0.05,0.80,0.04,0.11
74272,0.15,0.66,0.02,0.17
74273,0.49,0.12,0.13,0.25
74274,0.56,0.06,0.18,0.20
74275,0.25,0.38,0.06,0.31
74276,0.50,0.18,0.02,0.30
74277,0.48,0.14,0.09,0.28
74278,0.49,0.12,0.13,0.25
74279,0.12,0.56,0.01,0.30
74280,0.50,0.18,0.02,0.30
74281,0.49,0.12,0.13,0.25
74282,0.49,0.12,0.13,0.25
74283,0.55,0.21,0.01,0.23
74284,0.55,0.18,0.10,0.17
74285,0.56,0.06,0.18,0.20
74286,0.25,0.31,0.28,0.16
74287,0.56,0.06,0.18,0.20
74288,0.59,0.19,0.09,0.14
74289,0.56,0.06,0.18,0.20
74290,0.58,0.15,0.06,0.21
74291,0.50,0.18,0.02,0.30
74292,0.61,0.15,0.03,0.21
74293,0.06,0.79,0.06,0.09
74294,0.58,0.15,0.06,0.21
74295,0.25,0.31,0.28,0.16
74296,0.17,0.60,0.01,0.22
74297,0.25,0.31,0.28,0.16
74298,0.58,0.15,0.06,0.21
74299,0.12,0.61,0.00,0.26
74300,0.56,0.06,0.18,0.20
74301,0.43,0.30,0.07,0.21
74302,0.49,0.12,0.13,0.25
74303,0.61,0.15,0.03,0.21
74304,0.50,0.18,0.02,0.30
74305,0.17,0.60,0.01,0.22
74306,0.12,0.56,0.01,0.30
74307,0.06,0.79,0.06,0.09
74308,0.43,0.30,0.07,0.21
74309,0.50,0.18,0.02,0.30
74310,0.58,0.15,0.06,0.21
74311,0.54,0.22,0.04,0.20
74312,0.46,0.16,0.05,0.33
74313,0.56,0.06,0.18,0.20
74314,0.14,0.56,0.02,0.28
74315,0.59,0.19,0.09,0.14
74316,0.55,0.18,0.10,0.17
74317,0.49,0.12,0.13,0.25
74318,0.58,0.15,0.06,0.21
74319,0.49,0.12,0.13,0.25
74320,0.50,0.18,0.02,0.30
74321,0.58,0.15,0.06,0.21
74322,0.43,0.30,0.07,0.21
74323,0.50,0.18,0.02,0.30
74324,0.49,0.12,0.13,0.25
74325,0.43,0.30,0.07,0.21
74326,0.15,0.66,0.02,0.17
74327,0.58,0.15,0.06,0.21
74328,0.54,0.22,0.04,0.20
74329,0.55,0.18,0.10,0.17
74330,0.59,0.19,0.09,0.14
74331,0.12,0.61,0.00,0.26
74332,0.50,0.18,0.02,0.30
74333,0.16,0.69,0.02,0.13
74334,0.55,0.21,0.01,0.23
74335,0.25,0.38,0.06,0.31
74336,0.56,0.06,0.18,0.20
74337,0.46,0.16,0.05,0.33
74338,0.43,0.30,0.07,0.21
74339,0.43,0.30,0.07,0.21
74340,0.43,0.30,0.07,0.21
74341,0.58,0.15,0.06,0.21
74342,0.13,0.67,0.00,0.20
74343,0.50,0.18,0.02,0.30
74344,0.48,0.14,0.09,0.28
74345,0.46,0.16,0.05,0.33
74346,0.50,0.18,0.02,0.30
74347,0.55,0.18,0.10,0.17
74348,0.18,0.60,0.01,0.22
74349,0.61,0.15,0.03,0.21
74350,0.59,0.19,0.09,0.14
74351,0.56,0.06,0.18,0.20
74352,0.18,0.60,0.01,0.22
74353,0.15,0.66,0.02,0.17
74354,0.48,0.14,0.09,0.28
74355,0.55,0.21,0.01,0.23
74356,0.13,0.67,0.00,0.20
74357,0.46,0.16,0.05,0.33
74358,0.50,0.18,0.02,0.30
74359,0.56,0.06,0.18,0.20
74360,0.15,0.66,0.02,0.17
74361,0.59,0.19,0.09,0.14
74362,0.50,0.18,0.02,0.30
74363,0.50,0.18,0.02,0.30
74364,0.49,0.12,0.13,0.25
74365,0.61,0.15,0.03,0.21
74366,0.50,0.18,0.02,0.30
74367,0.55,0.21,0.01,0.23
74368,0.56,0.06,0.18,0.20
74369,0.50,0.18,0.02,0.30
74370,0.59,0.19,0.09,0.14
74371,0.55,0.18,0.10,0.17
74372,0.12,0.61,0.00,0.26
74373,0.48,0.14,0.09,0.28
74374,0.56,0.06,0.18,0.20
74375,0.12,0.61,0.00,0.26
74376,0.58,0.15,0.06,0.21
74377,0.50,0.18,0.02,0.30
74378,0.13,0.67,0.00,0.20
74379,0.13,0.70,0.01,0.16
74380,0.55,0.21,0.01,0.23
74381,0.46,0.16,0.05,0.33
74382,0.55,0.18,0.10,0.17
74383,0.56,0.06,0.18,0.20
74384,0.48,0.14,0.09,0.28
74385,0.55,0.21,0.01,0.23
74386,0.61,0.15,0.03,0.21
74387,0.46,0.16,0.05,0.33
74388,0.55,0.18,0.10,0.17
74389,0.50,0.18,0.02,0.30
74390,0.55,0.18,0.10,0.17
74391,0.50,0.18,0.02,0.30
74392,0.48,0.14,0.09,0.28
74393,0.05,0.80,0.04,0.11
74394,0.50,0.18,0.02,0.30
74395,0.06,0.76,0.05,0.13
74396,0.49,0.12,0.13,0.25
74397,0.59,0.19,0.09,0.14
74398,0.12,0.56,0.01,0.30
74399,0.43,0.30,0.07,0.21
74400,0.58,0.15,0.06,0.21
74401,0.27,0.27,0.34,0.12
74402,0.56,0.06,0.18,0.20
74403,0.56,0.06,0.18,0.20
74404,0.08,0.77,0.01,0.14
74405,0.12,0.61,0.00,0.26
74406,0.61,0.15,0.03,0.21
74407,0.50,0.18,0.02,0.30
74408,0.46,0.16,0.05,0.33
74409,0.56,0.06,0.18,0.20
74410,0.29,0.27,0.27,0.18
74411,0.29,0.27,0.27,0.18
74412,0.43,0.30,0.07,0.21
74413,0.46,0.16,0.05,0.33
74414,0.56,0.06,0.18,0.20
74415,0.12,0.61,0.00,0.26
74416,0.50,0.18,0.02,0.30
74417,0.50,0.18,0.02,0.30
74418,0.43,0.30,0.07,0.21
74419,0.13,0.70,0.01,0.16
74420,0.13,0.70,0.01,0.16
74421,0.06,0.76,0.05,0.13
74422,0.56,0.06,0.18,0.20
74423,0.25,0.38,0.06,0.31
74424,0.29,0.27,0.27,0.18
74425,0.15,0.66,0.02,0.17
74426,0.49,0.12,0.13,0.25
74427,0.56,0.06,0.18,0.20
74428,0.59,0.19,0.09,0.14
74429,0.48,0.14,0.09,0.28
74430,0.12,0.61,0.00,0.26
74431,0.61,0.15,0.03,0.21
74432,0.14,0.56,0.02,0.28
74433,0.43,0.30,0.07,0.21
74434,0.56,0.06,0.18,0.20
74435,0.55,0.18,0.10,0.17
74436,0.55,0.21,0.01,0.23
74437,0.12,0.56,0.01,0.30
74438,0.05,0.80,0.04,0.11
74439,0.48,0.14,0.09,0.28
74440,0.50,0.18,0.02,0.30
74441,0.59,0.19,0.09,0.14
74442,0.08,0.77,0.01,0.14
74443,0.43,0.30,0.07,0.21
74444,0.50,0.18,0.02,0.30
74445,0.43,0.30,0.07,0.21
74446,0.50,0.18,0.02,0.30
74447,0.25,0.38,0.06,0.31
74448,0.56,0.06,0.18,0.20
74449,0.61,0.15,0.03,0.21
74450,0.25,0.38,0.06,0.31
74451,0.16,0.69,0.02,0.13
74452,0.25,0.38,0.06,0.31
74453,0.43,0.30,0.07,0.21
74454,0.29,0.27,0.27,0.18
74455,0.48,0.14,0.09,0.28
74456,0.14,0.56,0.02,0.28
74457,0.17,0.60,0.01,0.22
74458,0.46,0.16,0.05,0.33
74459,0.05,0.80,0.04,0.11
74460,0.59,0.19,0.09,0.14
74461,0.56,0.06,0.18,0.20
74462,0.48,0.14,0.09,0.28
74463,0.59,0.19,0.09,0.14
74464,0.56,0.06,0.18,0.20
74465,0.55,0.21,0.01,0.23
74466,0.06,0.79,0.06,0.09
74467,0.50,0.18,0.02,0.30
74468,0.48,0.14,0.09,0.28
74469,0.55,0.18,0.10,0.17
74470,0.08,0.77,0.01,0.14
74471,0.56,0.06,0.18,0.20
74472,0.55,0.21,0.01,0.23
74473,0.46,0.16,0.05,0.33
74474,0.13,0.67,0.00,0.20
74475,0.50,0.18,0.02,0.30
74476,0.55,0.18,0.10,0.17
74477,0.50,0.18,0.02,0.30
74478,0.59,0.19,0.09,0.14
74479,0.06,0.79,0.06,0.09
74480,0.55,0.18,0.10,0.17
74481,0.43,0.30,0.07,0.21
74482,0.55,0.21,0.01,0.23
74483,0.27,0.27,0.34,0.12
74484,0.27,0.27,0.34,0.12
74485,0.55,0.21,0.01,0.23
74486,0.46,0.16,0.05,0.33
74487,0.50,0.18,0.02,0.30
74488,0.50,0.18,0.02,0.30
74489,0.25,0.38,0.06,0.31
74490,0.54,0.22,0.04,0.20
74491,0.49,0.12,0.13,0.25
74492,0.59,0.19,0.09,0.14
74493,0.59,0.19,0.09,0.14
74494,0.55,0.21,0.01,0.23
74495,0.56,0.06,0.18,0.20
74496,0.46,0.16,0.05,0.33
74497,0.29,0.27,0.27,0.18
74498,0.43,0.30,0.07,0.21
74499,0.50,0.18,0.02,0.30
74500,0.55,0.21,0.01,0.23
74501,0.55,0.18,0.10,0.17
74502,0.49,0.12,0.13,0.25
74503,0.56,0.06,0.18,0.20
74504,0.59,0.19,0.09,0.14
74505,0.46,0.16,0.05,0.33
74506,0.61,0.15,0.03,0.21
74507,0.56,0.06,0.18,0.20
74508,0.55,0.21,0.01,0.23
74509,0.43,0.30,0.07,0.21
74510,0.61,0.15,0.03,0.21
74511,0.59,0.19,0.09,0.14
74512,0.50,0.18,0.02,0.30
74513,0.48,0.14,0.09,0.28
74514,0.56,0.06,0.18,0.20
74515,0.55,0.21,0.01,0.23
74516,0.59,0.19,0.09,0.14
74517,0.49,0.12,0.13,0.25
74518,0.48,0.14,0.09,0.28
74519,0.06,0.76,0.05,0.13
74520,0.13,0.67,0.00,0.20
74521,0.50,0.18,0.02,0.30
74522,0.48,0.14,0.09,0.28
74523,0.25,0.31,0.28,0.16
74524,0.61,0.15,0.03,0.21
74525,0.05,0.80,0.04,0.11
74526,0.48,0.14,0.09,0.28
74527,0.55,0.18,0.10,0.17
74528,0.49,0.12,0.13,0.25
74529,0.56,0.06,0.18,0.20
74530,0.55,0.21,0.01,0.23
74531,0.61,0.15,0.03,0.21
74532,0.61,0.15,0.03,0.21
74533,0.48,0.14,0.09,0.28
74534,0.58,0.15,0.06,0.21
74535,0.55,0.21,0.01,0.23
74536,0.25,0.31,0.28,0.16
74537,0.59,0.19,0.09,0.14
74538,0.58,0.15,0.06,0.21
74539,0.55,0.21,0.01,0.23
74540,0.18,0.60,0.01,0.22
74541,0.14,0.56,0.02,0.28
74542,0.58,0.15,0.06,0.21
74543,0.27,0.27,0.34,0.12
74544,0.50,0.18,0.02,0.30
74545,0.18,0.60,0.01,0.22
74546,0.48,0.14,0.09,0.28
74547,0.16,0.69,0.02,0.13
74548,0.48,0.14,0.09,0.28
74549,0.50,0.18,0.02,0.30
74550,0.17,0.60,0.01,0.22
74551,0.61,0.15,0.03,0.21
74552,0.25,0.31,0.28,0.16
74553,0.58,0.15,0.06,0.21
74554,0.43,0.30,0.07,0.21
74555,0.12,0.56,0.01,0.30
74556,0.48,0.14,0.09,0.28
74557,0.50,0.18,0.02,0.30
74558,0.49,0.12,0.13,0.25
74559,0.61,0.15,0.03,0.21
74560,0.25,0.38,0.06,0.31
74561,0.56,0.06,0.18,0.20
74562,0.46,0.16,0.05,0.33
74563,0.25,0.31,0.28,0.16
74564,0.16,0.52,0.03,0.29
