id,Classic,Deal,Flex,Saver
60134,0.56,0.06,0.18,0.20
60135,0.46,0.16,0.05,0.33
60136,0.56,0.06,0.18,0.20
60137,0.56,0.06,0.18,0.20
60138,0.50,0.18,0.02,0.30
60139,0.55,0.21,0.01,0.23
60140,0.08,0.77,0.01,0.14
60141,0.50,0.18,0.02,0.30
60142,0.46,0.16,0.05,0.33
60143,0.50,0.18,0.02,0.30
60144,0.49,0.12,0.13,0.25
60145,0.50,0.18,0.02,0.30
60146,0.12,0.61,0.00,0.26
60147,0.16,0.52,0.03,0.29
60148,0.55,0.21,0.01,0.23
60149,0.12,0.56,0.01,0.30
60150,0.48,0.14,0.09,0.28
60151,0.54,0.22,0.04,0.20
60152,0.29,0.27,0.27,0.18
60153,0.50,0.18,0.02,0.30
60154,0.16,0.52,0.03,0.29
60155,0.55,0.18,0.10,0.17
60156,0.59,0.19,0.09,0.14
60157,0.06,0.79,0.06,0.09
60158,0.27,0.27,0.34,0.12
60159,0.55,0.21,0.01,0.23
60160,0.55,0.18,0.10,0.17
60161,0.08,0.77,0.01,0.14
60162,0.58,0.15,0.06,0.21
60163,0.55,0.18,0.10,0.17
60164,0.08,0.77,0.01,0.14
60165,0.25,0.31,0.28,0.16
60166,0.55,0.21,0.01,0.23
60167,0.50,0.18,0.02,0.30
60168,0.56,0.06,0.18,0.20
60169,0.18,0.60,0.01,0.22
60170,0.58,0.15,0.06,0.21
60171,0.50,0.18,0.02,0.30
60172,0.50,0.18,0.02,0.30
60173,0.58,0.15,0.06,0.21
60174,0.59,0.19,0.09,0.14
60175,0.56,0.06,0.18,0.20
60176,0.50,0.18,0.02,0.30
60177,0.49,0.12,0.13,0.25
60178,0.50,0.18,0.02,0.30
60179,0.55,0.21,0.01,0.23
60180,0.50,0.18,0.02,0.30
60181,0.56,0.06,0.18,0.20
60182,0.50,0.18,0.02,0.30
60183,0.50,0.18,0.02,0.30
60184,0.46,0.16,0.05,0.33
60185,0.58,0.15,0.06,0.21
60186,0.13,0.70,0.01,0.16
60187,0.48,0.14,0.09,0.28
60188,0.48,0.14,0.09,0.28
60189,0.14,0.56,0.02,0.28
60190,0.49,0.12,0.13,0.25
60191,0.06,0.79,0.06,0.09
60192,0.56,0.06,0.18,0.20
60193,0.27,0.27,0.34,0.12
60194,0.56,0.06,0.18,0.20
60195,0.49,0.12,0.13,0.25
60196,0.56,0.06,0.18,0.20
60197,0.55,0.21,0.01,0.23
60198,0.18,0.60,0.01,0.22
60199,0.48,0.14,0.09,0.28
60200,0.58,0.15,0.06,0.21
60201,0.55,0.18,0.10,0.17
60202,0.48,0.14,0.09,0.28
60203,0.25,0.38,0.06,0.31
60204,0.55,0.18,0.10,0.17
60205,0.56,0.06,0.18,0.20
60206,0.27,0.27,0.34,0.12
60207,0.58,0.15,0.06,0.21
60208,0.27,0.27,0.34,0.12
60209,0.43,0.30,0.07,0.21
60210,0.50,0.18,0.02,0.30
60211,0.14,0.56,0.02,0.28
60212,0.55,0.21,0.01,0.23
60213,0.25,0.31,0.28,0.16
60214,0.43,0.30,0.07,0.21
60215,0.48,0.14,0.09,0.28
60216,0.48,0.14,0.09,0.28
60217,0.55,0.18,0.10,0.17
60218,0.50,0.18,0.02,0.30
60219,0.48,0.14,0.09,0.28
60220,0.29,0.27,0.27,0.18
60221,0.58,0.15,0.06,0.21
60222,0.48,0.14,0.09,0.28
60223,0.50,0.18,0.02,0.30
60224,0.55,0.18,0.10,0.17
60225,0.25,0.31,0.28,0.16
60226,0.16,0.69,0.02,0.13
60227,0.54,0.22,0.04,0.20
60228,0.55,0.18,0.10,0.17
60229,0.25,0.38,0.06,0.31
60230,0.50,0.18,0.02,0.30
60231,0.27,0.27,0.34,0.12
60232,0.08,0.77,0.01,0.14
60233,0.29,0.27,0.27,0.18
60234,0.56,0.06,0.18,0.20
60235,0.50,0.18,0.02,0.30
60236,0.59,0.19,0.09,0.14
60237,0.61,0.15,0.03,0.21
60238,0.25,0.38,0.06,0.31
60239,0.56,0.06,0.18,0.20
60240,0.27,0.27,0.34,0.12
60241,0.49,0.12,0.13,0.25
60242,0.25,0.31,0.28,0.16
60243,0.56,0.06,0.18,0.20
60244,0.54,0.22,0.04,0.20
60245,0.50,0.18,0.02,0.30
60246,0.25,0.31,0.28,0.16
60247,0.48,0.14,0.09,0.28
60248,0.25,0.31,0.28,0.16
60249,0.59,0.19,0.09,0.14
60250,0.13,0.70,0.01,0.16
60251,0.56,0.06,0.18,0.20
60252,0.59,0.19,0.09,0.14
60253,0.29,0.27,0.27,0.18
60254,0.58,0.15,0.06,0.21
60255,0.55,0.21,0.01,0.23
60256,0.27,0.27,0.34,0.12
60257,0.27,0.27,0.34,0.12
60258,0.15,0.66,0.02,0.17
60259,0.56,0.06,0.18,0.20
60260,0.59,0.19,0.09,0.14
60261,0.16,0.52,0.03,0.29
60262,0.12,0.61,0.00,0.26
60263,0.46,0.16,0.05,0.33
60264,0.55,0.21,0.01,0.23
60265,0.48,0.14,0.09,0.28
60266,0.27,0.27,0.34,0.12
60267,0.46,0.16,0.05,0.33
60268,0.46,0.16,0.05,0.33
60269,0.59,0.19,0.09,0.14
60270,0.50,0.18,0.02,0.30
60271,0.50,0.18,0.02,0.30
60272,0.17,0.60,0.01,0.22
60273,0.27,0.27,0.34,0.12
60274,0.16,0.52,0.03,0.29
60275,0.54,0.22,0.04,0.20
60276,0.55,0.21,0.01,0.23
60277,0.50,0.18,0.02,0.30
60278,0.56,0.06,0.18,0.20
60279,0.55,0.21,0.01,0.23
60280,0.50,0.18,0.02,0.30
60281,0.59,0.19,0.09,0.14
60282,0.12,0.61,0.00,0.26
60283,0.13,0.70,0.01,0.16
60284,0.58,0.15,0.06,0.21
60285,0.58,0.15,0.06,0.21
60286,0.12,0.61,0.00,0.26
60287,0.55,0.21,0.01,0.23
60288,0.61,0.15,0.03,0.21
60289,0.55,0.21,0.01,0.23
60290,0.12,0.61,0.00,0.26
60291,0.55,0.18,0.10,0.17
60292,0.55,0.21,0.01,0.23
60293,0.06,0.79,0.06,0.09
60294,0.56,0.06,0.18,0.20
60295,0.49,0.12,0.13,0.25
60296,0.55,0.18,0.10,0.17
60297,0.56,0.06,0.18,0.20
60298,0.56,0.06,0.18,0.20
60299,0.25,0.31,0.28,0.16
60300,0.56,0.06,0.18,0.20
60301,0.17,0.60,0.01,0.22
60302,0.50,0.18,0.02,0.30
60303,0.50,0.18,0.02,0.30
60304,0.16,0.52,0.03,0.29
60305,0.06,0.79,0.06,0.09
60306,0.06,0.76,0.05,0.13
60307,0.61,0.15,0.03,0.21
60308,0.58,0.15,0.06,0.21
60309,0.29,0.27,0.27,0.18
60310,0.58,0.15,0.06,0.21
60311,0.56,0.06,0.18,0.20
60312,0.59,0.19,0.09,0.14
60313,0.08,0.77,0.01,0.14
60314,0.48,0.14,0.09,0.28
60315,0.25,0.31,0.28,0.16
60316,0.43,0.30,0.07,0.21
60317,0.59,0.19,0.09,0.14
60318,0.58,0.15,0.06,0.21
60319,0.48,0.14,0.09,0.28
60320,0.46,0.16,0.05,0.33
60321,0.48,0.14,0.09,0.28
60322,0.50,0.18,0.02,0.30
60323,0.43,0.30,0.07,0.21
60324,0.50,0.18,0.02,0.30
60325,0.49,0.12,0.13,0.25
60326,0.55,0.18,0.10,0.17
60327,0.16,0.52,0.03,0.29
60328,0.58,0.15,0.06,0.21
60329,0.48,0.14,0.09,0.28
60330,0.48,0.14,0.09,0.28
60331,0.55,0.21,0.01,0.23
60332,0.50,0.18,0.02,0.30
60333,0.50,0.18,0.02,0.30
60334,0.16,0.69,0.02,0.13
60335,0.49,0.12,0.13,0.25
60336,0.08,0.77,0.01,0.14
60337,0.59,0.19,0.09,0.14
60338,0.54,0.22,0.04,0.20
60339,0.58,0.15,0.06,0.21
60340,0.55,0.18,0.10,0.17
60341,0.50,0.18,0.02,0.30
60342,0.12,0.56,0.01,0.30
60343,0.59,0.19,0.09,0.14
60344,0.50,0.18,0.02,0.30
60345,0.12,0.61,0.00,0.26
60346,0.55,0.18,0.10,0.17
60347,0.50,0.18,0.02,0.30
60348,0.55,0.18,0.10,0.17
60349,0.56,0.06,0.18,0.20
60350,0.06,0.79,0.06,0.09
60351,0.56,0.06,0.18,0.20
60352,0.17,0.60,0.01,0.22
60353,0.55,0.21,0.01,0.23
60354,0.50,0.18,0.02,0.30
60355,0.14,0.56,0.02,0.28
60356,0.29,0.27,0.27,0.18
60357,0.46,0.16,0.05,0.33
60358,0.55,0.18,0.10,0.17
60359,0.55,0.21,0.01,0.23
60360,0.48,0.14,0.09,0.28
60361,0.50,0.18,0.02,0.30
60362,0.55,0.18,0.10,0.17
60363,0.56,0.06,0.18,0.20
60364,0.58,0.15,0.06,0.21
60365,0.25,0.31,0.28,0.16
60366,0.56,0.06,0.18,0.20
60367,0.08,0.77,0.01,0.14
60368,0.43,0.30,0.07,0.21
60369,0.05,0.80,0.04,0.11
60370,0.43,0.30,0.07,0.21
60371,0.55,0.21,0.01,0.23
60372,0.59,0.19,0.09,0.14
60373,0.50,0.18,0.02,0.30
60374,0.13,0.70,0.01,0.16
60375,0.61,0.15,0.03,0.21
60376,0.50,0.18,0.02,0.30
60377,0.49,0.12,0.13,0.25
60378,0.50,0.18,0.02,0.30
60379,0.43,0.30,0.07,0.21
60380,0.59,0.19,0.09,0.14
60381,0.06,0.79,0.06,0.09
60382,0.48,0.14,0.09,0.28
60383,0.55,0.21,0.01,0.23
60384,0.58,0.15,0.06,0.21
60385,0.08,0.77,0.01,0.14
60386,0.58,0.15,0.06,0.21
60387,0.46,0.16,0.05,0.33
60388,0.59,0.19,0.09,0.14
60389,0.06,0.76,0.05,0.13
60390,0.16,0.69,0.02,0.13
60391,0.18,0.60,0.01,0.22
60392,0.50,0.18,0.02,0.30
60393,0.43,0.30,0.07,0.21
60394,0.58,0.15,0.06,0.21
60395,0.29,0.27,0.27,0.18
60396,0.48,0.14,0.09,0.28
60397,0.54,0.22,0.04,0.20
60398,0.48,0.14,0.09,0.28
60399,0.12,0.61,0.00,0.26
60400,0.48,0.14,0.09,0.28
60401,0.55,0.21,0.01,0.23
60402,0.27,0.27,0.34,0.12
60403,0.50,0.18,0.02,0.30
60404,0.61,0.15,0.03,0.21
60405,0.46,0.16,0.05,0.33
60406,0.61,0.15,0.03,0.21
60407,0.43,0.30,0.07,0.21
60408,0.56,0.06,0.18,0.20
60409,0.50,0.18,0.02,0.30
60410,0.50,0.18,0.02,0.30
60411,0.46,0.16,0.05,0.33
60412,0.43,0.30,0.07,0.21
60413,0.50,0.18,0.02,0.30
60414,0.43,0.30,0.07,0.21
60415,0.12,0.56,0.01,0.30
60416,0.43,0.30,0.07,0.21
60417,0.58,0.15,0.06,0.21
60418,0.54,0.22,0.04,0.20
60419,0.50,0.18,0.02,0.30
60420,0.56,0.06,0.18,0.20
60421,0.55,0.18,0.10,0.17
60422,0.25,0.31,0.28,0.16
60423,0.12,0.61,0.00,0.26
60424,0.48,0.14,0.09,0.28
60425,0.46,0.16,0.05,0.33
60426,0.61,0.15,0.03,0.21
60427,0.55,0.18,0.10,0.17
60428,0.15,0.66,0.02,0.17
60429,0.59,0.19,0.09,0.14
60430,0.13,0.70,0.01,0.16
60431,0.48,0.14,0.09,0.28
60432,0.55,0.21,0.01,0.23
60433,0.17,0.60,0.01,0.22
60434,0.49,0.12,0.13,0.25
60435,0.16,0.69,0.02,0.13
60436,0.48,0.14,0.09,0.28
60437,0.48,0.14,0.09,0.28
60438,0.55,0.18,0.10,0.17
60439,0.50,0.18,0.02,0.30
60440,0.46,0.16,0.05,0.33
60441,0.55,0.18,0.10,0.17
60442,0.48,0.14,0.09,0.28
60443,0.55,0.18,0.10,0.17
60444,0.50,0.18,0.02,0.30
60445,0.27,0.27,0.34,0.12
60446,0.46,0.16,0.05,0.33
60447,0.50,0.18,0.02,0.30
60448,0.46,0.16,0.05,0.33
60449,0.56,0.06,0.18,0.20
60450,0.12,0.61,0.00,0.26
60451,0.16,0.69,0.02,0.13
60452,0.08,0.77,0.01,0.14
60453,0.48,0.14,0.09,0.28
60454,0.46,0.16,0.05,0.33
60455,0.13,0.67,0.00,0.20
60456,0.06,0.79,0.06,0.09
60457,0.48,0.14,0.09,0.28
60458,0.61,0.15,0.03,0.21
60459,0.49,0.12,0.13,0.25
60460,0.54,0.22,0.04,0.20
60461,0.43,0.30,0.07,0.21
60462,0.59,0.19,0.09,0.14
60463,0.48,0.14,0.09,0.28
60464,0.15,0.66,0.02,0.17
60465,0.48,0.14,0.09,0.28
60466,0.55,0.18,0.10,0.17
60467,0.59,0.19,0.09,0.14
60468,0.56,0.06,0.18,0.20
60469,0.48,0.14,0.09,0.28
60470,0.15,0.66,0.02,0.17
60471,0.61,0.15,0.03,0.21
60472,0.49,0.12,0.13,0.25
60473,0.46,0.16,0.05,0.33
60474,0.58,0.15,0.06,0.21
60475,0.50,0.18,0.02,0.30
60476,0.59,0.19,0.09,0.14
60477,0.58,0.15,0.06,0.21
60478,0.08,0.77,0.01,0.14
60479,0.13,0.70,0.01,0.16
60480,0.55,0.18,0.10,0.17
60481,0.58,0.15,0.06,0.21
60482,0.50,0.18,0.02,0.30
60483,0.56,0.06,0.18,0.20
60484,0.46,0.16,0.05,0.33
60485,0.48,0.14,0.09,0.28
60486,0.50,0.18,0.02,0.30
60487,0.58,0.15,0.06,0.21
60488,0.50,0.18,0.02,0.30
60489,0.55,0.18,0.10,0.17
60490,0.08,0.77,0.01,0.14
60491,0.58,0.15,0.06,0.21
60492,0.15,0.66,0.02,0.17
60493,0.18,0.60,0.01,0.22
60494,0.46,0.16,0.05,0.33
60495,0.59,0.19,0.09,0.14
60496,0.55,0.21,0.01,0.23
60497,0.25,0.31,0.28,0.16
60498,0.25,0.31,0.28,0.16
60499,0.43,0.30,0.07,0.21
60500,0.61,0.15,0.03,0.21
60501,0.55,0.21,0.01,0.23
60502,0.61,0.15,0.03,0.21
60503,0.56,0.06,0.18,0.20
60504,0.55,0.21,0.01,0.23
60505,0.08,0.77,0.01,0.14
60506,0.49,0.12,0.13,0.25
60507,0.48,0.14,0.09,0.28
60508,0.59,0.19,0.09,0.14
60509,0.50,0.18,0.02,0.30
60510,0.55,0.18,0.10,0.17
60511,0.12,0.56,0.01,0.30
60512,0.49,0.12,0.13,0.25
60513,0.43,0.30,0.07,0.21
60514,0.48,0.14,0.09,0.28
60515,0.50,0.18,0.02,0.30
60516,0.13,0.70,0.01,0.16
60517,0.55,0.18,0.10,0.17
60518,0.50,0.18,0.02,0.30
60519,0.56,0.06,0.18,0.20
60520,0.46,0.16,0.05,0.33
60521,0.55,0.18,0.10,0.17
60522,0.56,0.06,0.18,0.20
60523,0.50,0.18,0.02,0.30
60524,0.06,0.79,0.06,0.09
60525,0.25,0.38,0.06,0.31
60526,0.06,0.76,0.05,0.13
60527,0.61,0.15,0.03,0.21
60528,0.25,0.38,0.06,0.31
60529,0.18,0.60,0.01,0.22
60530,0.29,0.27,0.27,0.18
60531,0.56,0.06,0.18,0.20
60532,0.46,0.16,0.05,0.33
60533,0.43,0.30,0.07,0.21
60534,0.55,0.18,0.10,0.17
60535,0.56,0.06,0.18,0.20
60536,0.55,0.18,0.10,0.17
60537,0.50,0.18,0.02,0.30
60538,0.29,0.27,0.27,0.18
60539,0.50,0.18,0.02,0.30
60540,0.25,0.31,0.28,0.16
60541,0.48,0.14,0.09,0.28
60542,0.55,0.21,0.01,0.23
60543,0.06,0.79,0.06,0.09
60544,0.43,0.30,0.07,0.21
60545,0.49,0.12,0.13,0.25
60546,0.15,0.66,0.02,0.17
60547,0.50,0.18,0.02,0.30
60548,0.61,0.15,0.03,0.21
60549,0.48,0.14,0.09,0.28
60550,0.56,0.06,0.18,0.20
60551,0.05,0.80,0.04,0.11
60552,0.43,0.30,0.07,0.21
60553,0.08,0.77,0.01,0.14
60554,0.14,0.56,0.02,0.28
60555,0.55,0.18,0.10,0.17
60556,0.14,0.56,0.02,0.28
60557,0.12,0.61,0.00,0.26
60558,0.14,0.56,0.02,0.28
60559,0.50,0.18,0.02,0.30
60560,0.46,0.16,0.05,0.33
60561,0.12,0.61,0.00,0.26
60562,0.08,0.77,0.01,0.14
60563,0.27,0.27,0.34,0.12
60564,0.56,0.06,0.18,0.20
60565,0.50,0.18,0.02,0.30
60566,0.12,0.61,0.00,0.26
60567,0.48,0.14,0.09,0.28
60568,0.27,0.27,0.34,0.12
60569,0.50,0.18,0.02,0.30
60570,0.43,0.30,0.07,0.21
60571,0.16,0.69,0.02,0.13
60572,0.18,0.60,0.01,0.22
60573,0.13,0.70,0.01,0.16
60574,0.29,0.27,0.27,0.18
60575,0.61,0.15,0.03,0.21
60576,0.56,0.06,0.18,0.20
60577,0.25,0.31,0.28,0.16
60578,0.59,0.19,0.09,0.14
60579,0.15,0.66,0.02,0.17
60580,0.61,0.15,0.03,0.21
60581,0.55,0.21,0.01,0.23
60582,0.46,0.16,0.05,0.33
60583,0.61,0.15,0.03,0.21
60584,0.48,0.14,0.09,0.28
60585,0.55,0.18,0.10,0.17
60586,0.46,0.16,0.05,0.33
60587,0.56,0.06,0.18,0.20
60588,0.58,0.15,0.06,0.21
60589,0.12,0.61,0.00,0.26
60590,0.25,0.38,0.06,0.31
60591,0.61,0.15,0.03,0.21
60592,0.59,0.19,0.09,0.14
60593,0.16,0.69,0.02,0.13
60594,0.25,0.38,0.06,0.31
60595,0.43,0.30,0.07,0.21
60596,0.56,0.06,0.18,0.20
60597,0.50,0.18,0.02,0.30
60598,0.56,0.06,0.18,0.20
60599,0.55,0.18,0.10,0.17
60600,0.46,0.16,0.05,0.33
60601,0.55,0.18,0.10,0.17
60602,0.55,0.21,0.01,0.23
60603,0.43,0.30,0.07,0.21
60604,0.48,0.14,0.09,0.28
60605,0.29,0.27,0.27,0.18
60606,0.29,0.27,0.27,0.18
60607,0.55,0.18,0.10,0.17
60608,0.46,0.16,0.05,0.33
60609,0.12,0.61,0.00,0.26
60610,0.55,0.18,0.10,0.17
60611,0.56,0.06,0.18,0.20
60612,0.06,0.79,0.06,0.09
60613,0.50,0.18,0.02,0.30
60614,0.14,0.56,0.02,0.28
60615,0.50,0.18,0.02,0.30
60616,0.43,0.30,0.07,0.21
60617,0.56,0.06,0.18,0.20
60618,0.56,0.06,0.18,0.20
60619,0.08,0.77,0.01,0.14
60620,0.55,0.18,0.10,0.17
60621,0.25,0.31,0.28,0.16
60622,0.50,0.18,0.02,0.30
60623,0.56,0.06,0.18,0.20
60624,0.14,0.56,0.02,0.28
60625,0.55,0.21,0.01,0.23
60626,0.49,0.12,0.13,0.25
60627,0.58,0.15,0.06,0.21
60628,0.14,0.56,0.02,0.28
60629,0.61,0.15,0.03,0.21
60630,0.25,0.38,0.06,0.31
60631,0.06,0.79,0.06,0.09
60632,0.46,0.16,0.05,0.33
60633,0.27,0.27,0.34,0.12
60634,0.56,0.06,0.18,0.20
60635,0.46,0.16,0.05,0.33
60636,0.55,0.18,0.10,0.17
60637,0.50,0.18,0.02,0.30
60638,0.61,0.15,0.03,0.21
60639,0.46,0.16,0.05,0.33
60640,0.12,0.61,0.00,0.26
60641,0.59,0.19,0.09,0.14
60642,0.55,0.18,0.10,0.17
60643,0.15,0.66,0.02,0.17
60644,0.48,0.14,0.09,0.28
60645,0.48,0.14,0.09,0.28
60646,0.46,0.16,0.05,0.33
60647,0.56,0.06,0.18,0.20
60648,0.59,0.19,0.09,0.14
60649,0.55,0.21,0.01,0.23
60650,0.25,0.31,0.28,0.16
60651,0.55,0.18,0.10,0.17
60652,0.29,0.27,0.27,0.18
60653,0.50,0.18,0.02,0.30
60654,0.55,0.21,0.01,0.23
60655,0.55,0.21,0.01,0.23
60656,0.50,0.18,0.02,0.30
60657,0.58,0.15,0.06,0.21
60658,0.54,0.22,0.04,0.20
60659,0.55,0.21,0.01,0.23
60660,0.27,0.27,0.34,0.12
60661,0.59,0.19,0.09,0.14
60662,0.58,0.15,0.06,0.21
60663,0.55,0.21,0.01,0.23
60664,0.46,0.16,0.05,0.33
60665,0.59,0.19,0.09,0.14
60666,0.29,0.27,0.27,0.18
60667,0.17,0.60,0.01,0.22
60668,0.50,0.18,0.02,0.30
60669,0.08,0.77,0.01,0.14
60670,0.06,0.76,0.05,0.13
60671,0.56,0.06,0.18,0.20
60672,0.43,0.30,0.07,0.21
60673,0.43,0.30,0.07,0.21
60674,0.55,0.21,0.01,0.23
60675,0.55,0.21,0.01,0.23
60676,0.59,0.19,0.09,0.14
60677,0.55,0.18,0.10,0.17
60678,0.55,0.18,0.10,0.17
60679,0.12,0.61,0.00,0.26
60680,0.58,0.15,0.06,0.21
60681,0.48,0.14,0.09,0.28
60682,0.55,0.18,0.10,0.17
60683,0.15,0.66,0.02,0.17
60684,0.59,0.19,0.09,0.14
60685,0.25,0.38,0.06,0.31
60686,0.43,0.30,0.07,0.21
60687,0.08,0.77,0.01,0.14
60688,0.56,0.06,0.18,0.20
60689,0.59,0.19,0.09,0.14
60690,0.12,0.56,0.01,0.30
60691,0.48,0.14,0.09,0.28
60692,0.61,0.15,0.03,0.21
60693,0.25,0.31,0.28,0.16
60694,0.54,0.22,0.04,0.20
60695,0.25,0.38,0.06,0.31
60696,0.50,0.18,0.02,0.30
60697,0.50,0.18,0.02,0.30
60698,0.61,0.15,0.03,0.21
60699,0.13,0.70,0.01,0.16
60700,0.55,0.18,0.10,0.17
60701,0.46,0.16,0.05,0.33
60702,0.46,0.16,0.05,0.33
60703,0.29,0.27,0.27,0.18
60704,0.59,0.19,0.09,0.14
60705,0.48,0.14,0.09,0.28
60706,0.55,0.18,0.10,0.17
60707,0.56,0.06,0.18,0.20
60708,0.49,0.12,0.13,0.25
60709,0.55,0.21,0.01,0.23
60710,0.15,0.66,0.02,0.17
60711,0.06,0.76,0.05,0.13
60712,0.43,0.30,0.07,0.21
60713,0.56,0.06,0.18,0.20
60714,0.58,0.15,0.06,0.21
60715,0.17,0.60,0.01,0.22
60716,0.59,0.19,0.09,0.14
60717,0.18,0.60,0.01,0.22
60718,0.46,0.16,0.05,0.33
60719,0.56,0.06,0.18,0.20
60720,0.61,0.15,0.03,0.21
60721,0.25,0.38,0.06,0.31
60722,0.06,0.79,0.06,0.09
60723,0.25,0.31,0.28,0.16
60724,0.43,0.30,0.07,0.21
60725,0.27,0.27,0.34,0.12
60726,0.12,0.61,0.00,0.26
60727,0.06,0.76,0.05,0.13
60728,0.46,0.16,0.05,0.33
60729,0.56,0.06,0.18,0.20
60730,0.12,0.56,0.01,0.30
60731,0.48,0.14,0.09,0.28
60732,0.43,0.30,0.07,0.21
60733,0.56,0.06,0.18,0.20
60734,0.08,0.77,0.01,0.14
